Data	Produto	Unidades	Cidade 
01/01/2015	Produto C	10	SÃO PAULO
29/12/2014	Produto B	85	SÃO PAULO	
01/03/2015	Produto C	100	SÃO PAULO
01/04/2015	Produto B	75	SÃO PAULO
01/04/2015	Produto B	45	SÃO PAULO
01/06/2015	Produto C	60	SÃO PAULO
01/03/2015	Produto B	50	SÃO PAULO
29/12/2014	Produto B	65	SÃO PAULO
30/12/2014	Produto B	65	SÃO PAULO
31/12/2014	Produto C	20	SÃO PAULO
27/12/2014	Produto C	20	SÃO PAULO
01/05/2015	Produto D	95	SÃO PAULO
29/12/2014	Produto D	60	SÃO PAULO
27/12/2014	Produto C	70	SÃO PAULO
27/12/2014	Produto C	25	SÃO PAULO
29/12/2014	Produto A	95	SÃO PAULO
01/03/2015	Produto D	70	SÃO PAULO
30/12/2014	Produto D	50	SÃO PAULO
01/01/2015	Produto B	85	SÃO PAULO
31/12/2014	Produto D	10	SÃO PAULO
01/05/2015	Produto C	95	SÃO PAULO
01/05/2015	Produto A	50	SÃO PAULO
01/01/2015	Produto C	75	SÃO PAULO
28/12/2014	Produto D	50	SÃO PAULO	
29/12/2014	Produto C	10	SÃO PAULO
31/12/2014	Produto B	20	SÃO PAULO
01/04/2015	Produto A	35	SÃO PAULO
29/12/2014	Produto C	15	SÃO PAULO
01/03/2015	Produto D	75	SÃO PAULO
01/01/2015	Produto D	70	SÃO PAULO
28/12/2014	Produto D	85	SÃO PAULO
01/05/2015	Produto C	70	SÃO PAULO
01/03/2015	Produto B	40	SÃO PAULO
31/12/2014	Produto A	55	SÃO PAULO
01/03/2015	Produto D	35	SÃO PAULO
31/12/2014	Produto D	60	SÃO PAULO
01/06/2015	Produto A	40	SÃO PAULO
01/01/2015	Produto A	30	SÃO PAULO
29/12/2014	Produto D	40	SÃO PAULO
01/02/2015	Produto A	35	SÃO PAULO
31/12/2014	Produto C	65	SÃO PAULO
01/01/2015	Produto A	95	SÃO PAULO
28/12/2014	Produto A	10	SÃO PAULO
01/03/2015	Produto C	20	SÃO PAULO
31/12/2014	Produto B	85	SÃO PAULO
29/12/2014	Produto D	80	SÃO PAULO
31/12/2014	Produto D	65	SÃO PAULO
27/12/2014	Produto D	10	SÃO PAULO
01/04/2015	Produto C	75	SÃO PAULO
01/01/2015	Produto D	65	SÃO PAULO
27/12/2014	Produto C	35	SÃO PAULO
29/12/2014	Produto D	40	SÃO PAULO
27/12/2014	Produto B	65	SÃO PAULO
27/12/2014	Produto C	65	SÃO PAULO
30/12/2014	Produto D	30	SÃO PAULO
28/12/2014	Produto A	85	SÃO PAULO
28/12/2014	Produto D	65	SÃO PAULO
31/12/2014	Produto C	40	SÃO PAULO
28/12/2014	Produto A	70	SÃO PAULO
01/05/2015	Produto C	90	SÃO PAULO
01/05/2015	Produto D	100	SÃO PAULO
30/12/2014	Produto C	50	SÃO PAULO
01/05/2015	Produto A	75	SÃO PAULO
01/02/2015	Produto B	90	SÃO PAULO
01/06/2015	Produto B	60	SÃO PAULO
31/12/2014	Produto B	40	SÃO PAULO
01/01/2015	Produto A	65	SÃO PAULO
31/12/2014	Produto B	85	SÃO PAULO
29/12/2014	Produto A	35	SÃO PAULO
01/03/2015	Produto C	15	SÃO PAULO
31/12/2014	Produto C	35	SÃO PAULO
01/06/2015	Produto A	65	SÃO PAULO
01/06/2015	Produto A	15	SÃO PAULO
31/12/2014	Produto A	100	SÃO PAULO
29/12/2014	Produto A	70	SÃO PAULO
01/02/2015	Produto D	40	SÃO PAULO
01/05/2015	Produto D	75	SÃO PAULO
27/12/2014	Produto A	80	SÃO PAULO
01/05/2015	Produto A	100	SÃO PAULO
29/12/2014	Produto A	45	SÃO PAULO	
01/06/2015	Produto A	70	SÃO PAULO
28/12/2014	Produto A	70	SÃO PAULO
01/01/2015	Produto C	95	SÃO PAULO
01/01/2015	Produto B	65	SÃO PAULO
31/12/2014	Produto A	80	SÃO PAULO
01/05/2015	Produto C	25	SÃO PAULO
01/03/2015	Produto C	70	SÃO PAULO
27/12/2014	Produto D	65	SÃO PAULO
30/12/2014	Produto B	15	SÃO PAULO
29/12/2014	Produto C	95	SÃO PAULO
01/05/2015	Produto B	45	SÃO PAULO
31/12/2014	Produto A	70	SÃO PAULO
01/04/2015	Produto C	80	SÃO PAULO
01/06/2015	Produto B	45	SÃO PAULO
01/05/2015	Produto A	75	SÃO PAULO
01/01/2015	Produto B	65	SÃO PAULO
29/12/2014	Produto A	55	SÃO PAULO
01/02/2015	Produto C	85	SÃO PAULO
28/12/2014	Produto D	15	SÃO PAULO
01/02/2015	Produto A	90	SÃO PAULO
29/12/2014	Produto D	85	SÃO PAULO
